2025-10-12  22:58:10.421 | info | zx1f41ul8llek8 | FETCH ComfyRegistry Data: 65/99\n
2025-10-12  22:58:06.182 | info | zx1f41ul8llek8 | FETCH ComfyRegistry Data: 60/99\n
2025-10-12  22:58:05.235 | info | zx1f41ul8llek8 | worker-qwen-image-edit - Execution finished for prompt a114235f-c21f-4f06-9275-8e001aee168c\n
2025-10-12  22:58:04.916 | info | zx1f41ul8llek8 | Event before-parse.s3.PutObject: calling handler <function handle_expires_header at 0x79cad2111940>\n
2025-10-12  22:58:04.916 | info | zx1f41ul8llek8 | Event before-parse.s3.PutObject: calling handler <function _handle_200_error at 0x79cad2111b20>\n
2025-10-12  22:58:04.530 | info | zx1f41ul8llek8 | Event before-call.s3.PutObject: calling handler <function add_recursion_detection_header at 0x79cad20e6480>\n
2025-10-12  22:58:04.530 | info | zx1f41ul8llek8 | Event before-call.s3.PutObject: calling handler <bound method S3ExpressIdentityResolver.apply_signing_cache_key of <botocore.utils.S3ExpressIdentityResolver object at 0x79cabd272a50>>\n
2025-10-12  22:58:04.530 | info | zx1f41ul8llek8 | Adding expect 100 continue header to request.\n
2025-10-12  22:58:04.530 | info | zx1f41ul8llek8 | Event before-call.s3.PutObject: calling handler <function add_expect_header at 0x79cad20e76a0>\n
2025-10-12  22:58:04.530 | info | zx1f41ul8llek8 | Selected auth type "v4" as "v4" with signing context params: {'region': 'us-east-1', 'signing_name': 's3', 'disableDoubleEncoding': True}\n
2025-10-12  22:58:04.530 | info | zx1f41ul8llek8 | Selecting from endpoint provider's list of auth schemes: "sigv4". User selected auth scheme is: "None"\n
2025-10-12  22:58:04.530 | info | zx1f41ul8llek8 | Endpoint provider result: https://437fbe75131d306865fef83015b8a764.r2.cloudflarestorage.com/studio\n
2025-10-12  22:58:04.530 | info | zx1f41ul8llek8 | Calling endpoint provider with parameters: {'Bucket': 'studio', 'Region': 'us-east-1', 'UseFIPS': False, 'UseDualStack': False, 'Endpoint': 'https://437fbe75131d306865fef83015b8a764.r2.cloudflarestorage.com', 'ForcePathStyle': True, 'Accelerate': False, 'UseGlobalEndpoint': True, 'Key': 'generations/roman/face1_0.jpg', 'DisableMultiRegionAccessPoints': False, 'UseArnRegion': True}\n
2025-10-12  22:58:04.530 | info | zx1f41ul8llek8 | Event before-endpoint-resolution.s3: calling handler <bound method S3RegionRedirectorv2.redirect_from_cache of <botocore.utils.S3RegionRedirectorv2 object at 0x79cabd146210>>\n
